loading|Vi undersøger hjemmesiden og dens adgangsregler …|Vi undersøker nettsiden og tilgangsreglene …|We are checking the website and its access rules …|Wir prüfen die Website und ihre Zugangsregeln …
unavailable|Analysetjenesten er ikke tilgængelig på denne visning. Prøv igen senere.|Analysetjenesten er ikke tilgjengelig i denne visningen. Prøv igjen senere.|The analysis service is unavailable in this view. Please try again later.|Der Analysedienst ist in dieser Ansicht nicht verfügbar. Bitte versuchen Sie es später erneut.
queue|Der er kø ved tjekket. Vent tre minutter og prøv igen.|Det er kø. Vent tre minutter og prøv igjen.|The check is busy. Wait three minutes and try again.|Der Check ist ausgelastet. Warten Sie drei Minuten und versuchen Sie es erneut.
failed|Tjekket kunne ikke gennemføres. Kontrollér webadressen, eller prøv igen senere. Private adresser understøttes ikke.|Testen kunne ikke gjennomføres. Kontroller nettadressen eller prøv igjen senere. Private adresser støttes ikke.|The check could not be completed. Check the website address or try again later. Private addresses are not supported.|Der Check konnte nicht abgeschlossen werden. Prüfen Sie die Webadresse oder versuchen Sie es später erneut. Private Adressen werden nicht unterstützt.
timeout|Tjekket tog for lang tid. Prøv igen senere.|Testen tok for lang tid. Prøv igjen senere.|The check timed out. Please try again later.|Der Check hat zu lange gedauert. Bitte versuchen Sie es später erneut.
ready|Førstetjekket er klar.|Førstesjekken er klar.|Your initial check is ready.|Ihr Erstcheck ist fertig.
coverage|Datadækning: {coverage} % af den fulde model. Risikoen gælder kun de målte dele.|Datadekning: {coverage} % av den fulle modellen. Risikoen gjelder bare de målte delene.|Data coverage: {coverage}% of the full model. Risk applies only to the measured parts.|Datenabdeckung: {coverage} % des vollständigen Modells. Das Risiko bezieht sich nur auf die gemessenen Teile.
clarify|Få afklaret: {label}.|Få avklart: {label}.|Clarify: {label}.|Klären Sie: {label}.
presenceAction|Undersøg faktiske AI-svar på relevante kundespørgsmål.|Undersøk faktiske AI-svar på relevante kundespørsmål.|Examine actual AI responses to relevant customer questions.|Untersuchen Sie tatsächliche KI-Antworten auf relevante Kundenfragen.
confirmedCount|{passed} af {total} signaler bekræftet.|{passed} av {total} signaler bekreftet.|{passed} of {total} signals confirmed.|{passed} von {total} Signalen bestätigt.
someUnknown|Nogle forhold kunne ikke måles.|Noen forhold kunne ikke måles.|Some items could not be measured.|Einige Aspekte konnten nicht gemessen werden.
seeFindings|Se fundene nedenfor for forklaring og næste skridt.|Se funnene nedenfor for forklaring og neste skritt.|See the findings below for explanations and next steps.|Erläuterungen und nächste Schritte finden Sie in den Ergebnissen unten.
found|findes i sidens tekst|finnes i sidens tekst|found in the page text|im Seitentext gefunden
notFound|ikke fundet i den undersøgte tekst|ikke funnet i den undersøkte teksten|not found in the text examined|im untersuchten Text nicht gefunden
unknown|Ikke målt|Ikke målt|Not measured|Nicht gemessen
confirmed|Bekræftet|Bekreftet|Confirmed|Bestätigt
review|Se nærmere|Se nærmere|Review|Näher prüfen
preliminary|Foreløbig|Foreløpig|Preliminary|Vorläufig
Low|Low|Lav|Low|Niedrig
Medium|Medium|Middels|Medium|Mittel
High|High|Høy|High|Hoch
summary|Et første billede af hjemmesidens tilgængelighed og tydelighed. Scoren dokumenterer ikke, om AI anbefaler virksomheden.|Et første bilde av nettsidens tilgjengelighet og tydelighet. Poengsummen dokumenterer ikke om AI anbefaler virksomheten.|An initial view of the website’s accessibility and clarity. The score does not establish whether AI recommends the business.|Ein erster Eindruck von Zugänglichkeit und Klarheit der Website. Die Bewertung belegt nicht, ob KI das Unternehmen empfiehlt.
perceptionMatch|Indledende tekstmatch|Innledende tekstsammenligning|Initial text comparison|Erster Textabgleich
perceptionMissing|Mangler ønsket billede|Mangler ønsket bilde|Desired perception not provided|Gewünschtes Bild nicht angegeben
perceptionNote|Ordmatch er et samtalegrundlag, ikke en vurdering af kundernes faktiske opfattelse. En fuld vurdering kræver virksomhedens mål og en kvalitativ gennemgang.|Ordtreff er et samtalegrunnlag, ikke en vurdering av kundenes faktiske oppfatning. En full vurdering krever virksomhetens mål og en kvalitativ gjennomgang.|Word matches are a starting point for discussion, not a measure of actual customer perception. A full assessment requires business goals and a qualitative review.|Worttreffer sind eine Gesprächsgrundlage, keine Bewertung der tatsächlichen Kundenwahrnehmung. Eine vollständige Bewertung erfordert Unternehmensziele und eine qualitative Prüfung.
limit1|Kun den indtastede side, adgangsregler og én sideoversigt undersøges.|Bare den angitte siden, tilgangsreglene og én sideoversikt undersøkes.|Only the submitted page, access rules and one sitemap are examined.|Es werden nur die angegebene Seite, die Zugangsregeln und eine Sitemap untersucht.
limit2|Tilladelse i adgangsregler dokumenterer ikke faktisk adgang gennem firewall eller placering i søgeresultater.|Tillatelse i tilgangsreglene dokumenterer ikke faktisk tilgang gjennom brannmur eller plassering i søkeresultater.|Permission in access rules does not establish actual access through a firewall or placement in search results.|Eine Erlaubnis in den Zugangsregeln belegt weder tatsächlichen Zugriff durch eine Firewall noch eine Platzierung in Suchergebnissen.
limit3|Forståelse vurderes via enkle signaler; tekst og virksomhedsdata kan være ufuldstændige eller forældede.|Forståelse vurderes gjennom enkle signaler; tekst og virksomhetsdata kan være ufullstendige eller utdaterte.|Understanding is assessed using simple signals; text and business data may be incomplete or outdated.|Verständlichkeit wird anhand einfacher Signale bewertet; Texte und Unternehmensdaten können unvollständig oder veraltet sein.
limit4|AI Presence udgør 30 % af den fulde model og er endnu ikke målt. Manglende målinger tæller ikke som nul.|AI Presence utgjør 30 % av den fulle modellen og er ennå ikke målt. Manglende målinger teller ikke som null.|AI Presence accounts for 30% of the full model and has not yet been measured. Missing measurements do not count as zero.|KI-Präsenz macht 30 % des vollständigen Modells aus und wurde noch nicht gemessen. Fehlende Messungen zählen nicht als null.
q1|Hvilke virksomheder kan hjælpe med {offering} i {market}?|Hvilke virksomheter kan hjelpe med {offering} i {market}?|Which businesses can help with {offering} in {market}?|Welche Unternehmen können bei {offering} in {market} helfen?
q2|Hvem vil du anbefale til {offering} for {market}, og hvorfor?|Hvem vil du anbefale til {offering} for {market}, og hvorfor?|Who would you recommend for {offering} for {market}, and why?|Wen würden Sie für {offering} für {market} empfehlen und warum?
q3|Hvilke alternativer er der til {company}?|Hvilke alternativer finnes til {company}?|What alternatives are there to {company}?|Welche Alternativen gibt es zu {company}?
offering|[ydelse]|[tjeneste]|[service]|[Leistung]
market|[område/målgruppe]|[område/målgruppe]|[area/audience]|[Region/Zielgruppe]
company|[virksomheden]|[virksomheten]|[business]|[Unternehmen]
method|Brug POST.|Bruk POST.|Use POST.|Verwenden Sie POST.
large|Indtastningen er for lang.|Inntastingen er for lang.|The input is too long.|Die Eingabe ist zu lang.
blocked|Hjemmesidens adgangsregler tillader ikke vores tjek af denne side.|Nettsidens tilgangsregler tillater ikke vår test av denne siden.|The website’s access rules do not allow us to check this page.|Die Zugangsregeln der Website erlauben unseren Check dieser Seite nicht.
notHtml|Siden kunne ikke læses som en almindelig hjemmeside. Prøv forsiden.|Siden kunne ikke leses som en vanlig nettside. Prøv forsiden.|The page could not be read as a standard web page. Try the homepage.|Die Seite konnte nicht als normale Webseite gelesen werden. Versuchen Sie die Startseite.
readable.label|Indhold kan læses|Innholdet kan leses|Content can be read|Inhalte sind lesbar
readable.action|Gør virksomhedens vigtigste indhold læsbart uden interaktion.|Gjør virksomhetens viktigste innhold lesbart uten interaksjon.|Make the business’s key content readable without interaction.|Machen Sie die wichtigsten Unternehmensinhalte ohne Interaktion lesbar.
