0|Om oss — Waltham|About us — Waltham|Über uns — Waltham
1|Waltham er et uavhengig rådgivningsmiljø med røtter i Norge siden 1994 og erfaring fra forretningsutvikling, investering, rådgivning og næringslokaler.|Waltham is an independent advisory firm with roots in Norway since 1994 and experience in business development, investment, advisory work and commercial premises.|Waltham ist eine unabhängige Unternehmensberatung mit Wurzeln in Norwegen seit 1994 und Erfahrung in Geschäftsentwicklung, Investitionen, Beratung und Gewerberäumen.
2|Waltham Consulting, forsiden|Waltham Consulting, home|Waltham Consulting, Startseite
6|Meny|Menu|Menü
7|Hovedmeny|Main menu|Hauptmenü
8|Hva vi gjør|What we do|Was wir tun
9|Nordisk markedsinngang|Nordic market entry|Markteintritt in Nordeuropa
10|Utvalgte prosjekter|Selected projects|Ausgewählte Projekte
11|Tilnærming|Approach|Arbeitsweise
13|Om oss|About us|Über uns
14|Kontakt|Contact|Kontakt
15|Språk|Language|Sprache
20|Om oss · Uavhengig forretningsrådgivning|About us · Independent business advisory|Über uns · Unabhängige Unternehmensberatung
21|Erfaring fra|Experience from|Erfahrung aus
22|virksomheters virkelighet.|the realities of business.|der unternehmerischen Praxis.
23|Waltham er et uavhengig rådgivningsmiljø med fokus på forretningsutvikling, teknologi og avklaring i komplekse situasjoner.|Waltham is an independent advisory firm focused on business development, technology and bringing clarity to complex situations.|Waltham ist eine unabhängige Unternehmensberatung mit Fokus auf Geschäftsentwicklung, Technologie und die Klärung komplexer Situationen.
24|Bakgrunn|Background|Hintergrund
25|Fra å bygge|From building businesses|Vom Unternehmensaufbau
26|til å gi råd.|to advising them.|zur Beratung.
27|Historien bak Waltham begynte i Norge i 1994 med en sportsforretning med fokus på ski og terrengsykler. Her ble grunnlaget lagt for en praktisk tilnærming til kunder, drift og forretningsutvikling.|The story behind Waltham began in Norway in 1994 with a sports shop specialising in skis and mountain bikes. This laid the foundation for a practical approach to customers, operations and business development.|Die Geschichte hinter Waltham begann 1994 in Norwegen mit einem Sportgeschäft für Ski und Mountainbikes. Dort entstand die Grundlage für einen praxisnahen Umgang mit Kunden, Betriebsführung und Geschäftsentwicklung.
28|I 2000 ble Waltham etablert som et selvstendig selskap. Siden har Waltham vært med på å utvikle en rekke virksomheter, blant annet InFact AS, og gitt råd til mange oppstartsbedrifter om deres utvikling.|Waltham was established as a separate company in 2000. Since then, Waltham has helped develop a range of businesses, including InFact AS, and advised many start-ups on their development.|Im Jahr 2000 wurde Waltham als eigenständiges Unternehmen gegründet. Seitdem hat Waltham an der Entwicklung verschiedener Unternehmen, darunter InFact AS, mitgewirkt und zahlreiche Gründungsunternehmen bei ihrer Entwicklung beraten.
29|Erfaringsgrunnlaget omfatter investering, eierskap, bedriftsledelse og praktisk forretningsutvikling. Det gir innsikt i både mulighetene og beslutningene som blir krevende når økonomi, mennesker og ulike interesser skal fungere sammen.|Our experience spans investment, ownership, business management and practical business development. It offers insight into both the opportunities and the difficult decisions that arise when finances, people and different interests need to work together.|Die Erfahrung umfasst Investitionen, Eigentümerschaft, Unternehmensführung und praktische Geschäftsentwicklung. Daraus entsteht ein Verständnis für Chancen und schwierige Entscheidungen, wenn wirtschaftliche Fragen, Menschen und unterschiedliche Interessen zusammenkommen.
